trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.001, 'e': 0.9855847669095608}",25,0,-179.82810416478205,"{0: 11, 1: 4, 2: 5, 3: 4, 4: 1}",0
171,False,"{'a': 0.001, 'e': 0.9854150917963483}",20,0,-201.976770147605,"{0: 7, 1: 4, 2: 5, 3: 1, 4: 3}",0
172,False,"{'a': 0.001, 'e': 0.9852444312681263}",20,10,-13.120253527877676,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.001, 'e': 0.9850727854955552}",20,0,-128.1721655112933,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
174,False,"{'a': 0.001, 'e': 0.9849001546502806}",25,0,-143.65749211047634,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
175,False,"{'a': 0.001, 'e': 0.9847265389049334}",25,0,-152.14582242272516,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
176,False,"{'a': 0.001, 'e': 0.9845519384331295}",20,0,-82.7495830123017,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
177,False,"{'a': 0.001, 'e': 0.984376353409469}",20,0,-56.34583216945555,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
178,False,"{'a': 0.001, 'e': 0.9841997840095373}",20,0,-97.02460846969639,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
179,False,"{'a': 0.001, 'e': 0.9840222304099036}",30,0,-267.35229600186824,"{0: 16, 1: 1, 2: 6, 3: 3, 4: 4}",0
180,False,"{'a': 0.001, 'e': 0.9838436927881214}",20,0,-49.71800256432011,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
181,False,"{'a': 0.001, 'e': 0.9836641713227284}",25,0,-99.9293914651007,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
182,False,"{'a': 0.001, 'e': 0.9834836661932461}",25,0,-99.84069585730238,"{0: 16, 1: 4, 2: 2, 3: 2, 4: 1}",0
